ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP,IntervalTotal
308,2020-09-18,25,2020-07-28T15:01:00,1595962860,1,1.14,114
309,2020-09-18,25,2020-07-28T15:52:00,1595965920,2,1.15,230
310,2020-09-18,25,2020-07-29T09:43:00,1596030180,6,1.1366667,682
311,2020-09-18,25,2020-07-29T09:47:00,1596030420,1,1.11,111
312,2020-09-18,25,2020-07-29T10:00:00,1596031200,1,1.13,113
313,2020-09-18,25,2020-07-29T10:12:00,1596031920,2,1.15,230
314,2020-09-18,25,2020-07-29T10:32:00,1596033120,2,1.12,224
315,2020-09-18,25,2020-07-29T10:35:00,1596033300,1,1.09,109
316,2020-09-18,25,2020-07-29T11:02:00,1596034920,1,1.05,105
317,2020-09-18,25,2020-07-29T12:00:00,1596038400,1,1.13,113
318,2020-09-18,25,2020-07-29T12:09:00,1596038940,5,1.158,579
319,2020-09-18,25,2020-07-29T12:10:00,1596039000,10,1.16,1160
320,2020-09-18,25,2020-07-29T13:04:00,1596042240,3,1.17,351
321,2020-09-18,25,2020-07-29T14:38:00,1596047880,1,1.15,115
322,2020-09-18,25,2020-07-29T14:58:00,1596049080,2,1.17,234
323,2020-09-18,25,2020-07-29T14:59:00,1596049140,3,1.17,351
324,2020-09-18,25,2020-07-29T15:00:00,1596049200,4,1.17,468
325,2020-09-18,25,2020-07-29T15:04:00,1596049440,16,1.16,1856
326,2020-09-18,25,2020-07-29T15:29:00,1596050940,200,1.13,22600
327,2020-09-18,25,2020-07-29T15:30:00,1596051000,4,1.13,452
328,2020-09-18,25,2020-07-29T15:32:00,1596051120,336,1.1397024,38294
329,2020-09-18,25,2020-07-29T15:33:00,1596051180,63,1.1398413,7181
330,2020-09-18,25,2020-07-29T15:44:00,1596051840,1,1.11,111
331,2020-09-18,25,2020-07-29T15:47:00,1596052020,20,1.14,2280
332,2020-09-18,25,2020-07-29T15:48:00,1596052080,1,1.11,111
333,2020-09-18,25,2020-07-29T15:54:00,1596052440,4,1.14,456
334,2020-09-18,25,2020-07-29T15:59:00,1596052740,2,1.15,230
